A	B
3.901E-4	0.01274
3.894E-4	0.01278
3.888E-4	0.01276
3.877E-4	0.01277
3.873E-4	0.01277
3.86E-4	0.01274
3.859E-4	0.01269
3.852E-4	0.0127
3.84E-4	0.01274
3.837E-4	0.01277
3.832E-4	0.0128
3.827E-4	0.01279
3.818E-4	0.01274
3.809E-4	0.01278
3.804E-4	0.01275
3.797E-4	0.01268
3.791E-4	0.01268
3.785E-4	0.01272
3.776E-4	0.01267
3.772E-4	0.01269
3.766E-4	0.01263
3.764E-4	0.01267
3.753E-4	0.01269
3.747E-4	0.0128
3.736E-4	0.01283
3.73E-4	0.01279
3.72E-4	0.01273
3.719E-4	0.01274
3.717E-4	0.01275
3.703E-4	0.01269
3.7E-4	0.01267
3.69E-4	0.01273
3.683E-4	0.01273
3.676E-4	0.01284
3.667E-4	0.01283
3.665E-4	0.01283
3.66E-4	0.01283
3.654E-4	0.01276
3.646E-4	0.01274
3.643E-4	0.01278
3.634E-4	0.01278
3.629E-4	0.01279
3.615E-4	0.01279
3.613E-4	0.01274
3.607E-4	0.01271
3.595E-4	0.01276
3.593E-4	0.0127
3.586E-4	0.01266
3.583E-4	0.01274
3.573E-4	0.01283
3.57E-4	0.01278
3.564E-4	0.01276
3.556E-4	0.01275
3.548E-4	0.0127
3.539E-4	0.01273
3.533E-4	0.01276
3.529E-4	0.01274
3.522E-4	0.01276
3.518E-4	0.01282
3.507E-4	0.01279
3.502E-4	0.01278
3.492E-4	0.01281
3.486E-4	0.01282
3.479E-4	0.01278
3.476E-4	0.01278
3.47E-4	0.01279
3.456E-4	0.01279
3.454E-4	0.0128
3.45E-4	0.01274
3.443E-4	0.01273
3.431E-4	0.01276
3.426E-4	0.01278
3.419E-4	0.01278
3.412E-4	0.01268
3.409E-4	0.01266
3.4E-4	0.01267
3.397E-4	0.01267
3.384E-4	0.01277
3.385E-4	0.01282
3.38E-4	0.01284
3.369E-4	0.01276
3.362E-4	0.01281
3.351E-4	0.01282
3.344E-4	0.01278
3.34E-4	0.01277
3.335E-4	0.01278
3.333E-4	0.01275
3.322E-4	0.01276
3.322E-4	0.0127
3.306E-4	0.01276
3.303E-4	0.01277
3.292E-4	0.01275
3.288E-4	0.0127
3.277E-4	0.01273
3.279E-4	0.01265
3.273E-4	0.01269
3.263E-4	0.01274
3.256E-4	0.01276
3.241E-4	0.01274
3.24E-4	0.01273
3.23E-4	0.01273
3.226E-4	0.01269
3.222E-4	0.01269
3.216E-4	0.01265
3.21E-4	0.01266
3.2E-4	0.01268
3.193E-4	0.01273
3.184E-4	0.01273
3.181E-4	0.0126
3.176E-4	0.01266
3.168E-4	0.01265
3.163E-4	0.0126
3.153E-4	0.01261
3.149E-4	0.0127
3.139E-4	0.0126
3.133E-4	0.01264
3.131E-4	0.01268
3.118E-4	0.01262
3.113E-4	0.01263
3.104E-4	0.01271
3.101E-4	0.01268
3.09E-4	0.01267
3.083E-4	0.0127
3.077E-4	0.01266
3.071E-4	0.01263
3.064E-4	0.01265
3.056E-4	0.0126
3.048E-4	0.01261
3.044E-4	0.01255
3.041E-4	0.01257
3.035E-4	0.01248
3.024E-4	0.01258
3.023E-4	0.01267
3.01E-4	0.0127
3E-4	0.0127
2.999E-4	0.0126
2.989E-4	0.01257
2.987E-4	0.01253
2.975E-4	0.01262
2.971E-4	0.01256
2.962E-4	0.01263
2.959E-4	0.01268
2.944E-4	0.01266
2.94E-4	0.01274
