A	B
3.246E-4	0.01275
3.235E-4	0.01276
3.233E-4	0.01276
3.226E-4	0.01275
3.222E-4	0.01281
3.211E-4	0.01279
3.208E-4	0.01265
3.199E-4	0.01263
3.19E-4	0.01268
3.182E-4	0.01277
3.18E-4	0.0128
3.177E-4	0.01276
3.167E-4	0.01272
3.164E-4	0.0127
3.147E-4	0.01279
3.148E-4	0.01286
3.144E-4	0.01285
3.132E-4	0.01276
3.122E-4	0.01273
3.12E-4	0.0127
3.114E-4	0.01272
3.101E-4	0.01275
3.102E-4	0.01275
3.098E-4	0.01269
3.085E-4	0.01271
3.081E-4	0.01269
3.07E-4	0.01264
3.071E-4	0.0127
3.061E-4	0.01278
3.055E-4	0.01279
3.05E-4	0.01274
3.039E-4	0.01265
3.034E-4	0.01264
3.026E-4	0.01271
3.024E-4	0.01276
3.016E-4	0.0128
3.007E-4	0.01274
3.003E-4	0.01266
2.992E-4	0.01261
2.99E-4	0.01268
2.982E-4	0.0128
2.976E-4	0.01274
2.962E-4	0.01265
2.958E-4	0.01267
2.953E-4	0.01273
2.95E-4	0.01279
2.946E-4	0.01276
2.936E-4	0.01269
2.926E-4	0.01268
2.914E-4	0.01273
2.914E-4	0.01284
2.907E-4	0.01286
2.901E-4	0.01276
2.896E-4	0.0127
2.884E-4	0.01269
2.877E-4	0.01271
2.87E-4	0.01268
2.867E-4	0.0127
2.857E-4	0.01274
2.85E-4	0.01277
2.852E-4	0.01271
2.834E-4	0.0127
2.831E-4	0.01274
2.826E-4	0.01274
2.817E-4	0.01276
2.808E-4	0.01272
2.809E-4	0.0127
2.798E-4	0.01266
2.787E-4	0.0126
2.786E-4	0.01262
2.783E-4	0.01267
2.78E-4	0.01265
2.766E-4	0.01266
2.759E-4	0.01256
2.755E-4	0.01263
2.742E-4	0.01269
2.735E-4	0.01267
2.731E-4	0.0126
2.727E-4	0.01264
2.715E-4	0.01262
2.709E-4	0.01255
2.704E-4	0.01256
2.695E-4	0.01259
2.689E-4	0.01266
2.684E-4	0.0127
2.684E-4	0.01263
2.67E-4	0.01253
2.662E-4	0.0125
2.658E-4	0.01251
2.647E-4	0.01255
2.646E-4	0.01259
2.639E-4	0.01259
2.632E-4	0.01248
2.624E-4	0.01241
2.616E-4	0.01243
2.602E-4	0.01244
2.603E-4	0.0125
2.6E-4	0.01256
2.589E-4	0.01258
2.584E-4	0.01253
2.573E-4	0.01245
2.564E-4	0.01243
2.555E-4	0.01244
2.553E-4	0.01245
2.549E-4	0.01242
