A	B
1.822E-4	0.01206
1.818E-4	0.01212
1.809E-4	0.01211
1.802E-4	0.01208
1.796E-4	0.01205
1.793E-4	0.01202
1.784E-4	0.01209
1.775E-4	0.01213
1.772E-4	0.01207
1.756E-4	0.01206
1.756E-4	0.01204
1.747E-4	0.01194
1.739E-4	0.01192
1.74E-4	0.012
1.728E-4	0.012
1.722E-4	0.01198
1.718E-4	0.01198
1.704E-4	0.01194
1.696E-4	0.01205
1.694E-4	0.01201
1.686E-4	0.01207
1.677E-4	0.01199
1.671E-4	0.01198
1.659E-4	0.01197
1.655E-4	0.01205
1.647E-4	0.01198
1.642E-4	0.01197
1.639E-4	0.01196
1.63E-4	0.01198
1.617E-4	0.01196
1.612E-4	0.01196
1.605E-4	0.012
1.595E-4	0.01199
1.593E-4	0.01191
1.588E-4	0.01187
1.577E-4	0.01183
1.572E-4	0.01186
1.56E-4	0.01192
1.558E-4	0.01188
1.546E-4	0.01177
1.541E-4	0.01171
1.535E-4	0.01171
1.526E-4	0.01171
1.521E-4	0.01175
1.514E-4	0.01168
1.505E-4	0.01166
1.495E-4	0.01173
1.49E-4	0.0117
1.481E-4	0.01164
1.48E-4	0.01168
1.471E-4	0.01169
1.457E-4	0.01163
1.457E-4	0.01157
1.445E-4	0.01156
1.437E-4	0.01159
1.433E-4	0.01154
1.425E-4	0.01151
1.417E-4	0.01149
1.409E-4	0.01143
1.407E-4	0.01142
1.397E-4	0.0114
1.391E-4	0.0113
1.374E-4	0.01127
1.374E-4	0.01124
1.371E-4	0.01123
1.352E-4	0.01119
1.354E-4	0.01116
1.344E-4	0.01116
1.339E-4	0.0112
1.329E-4	0.01119
1.319E-4	0.01116
1.314E-4	0.01122
1.307E-4	0.01124
1.299E-4	0.01128
1.289E-4	0.01133
1.286E-4	0.01142
1.271E-4	0.01156
1.27E-4	0.01168
1.267E-4	0.01171
1.25E-4	0.0118
1.25E-4	0.01187
1.235E-4	0.01202
1.229E-4	0.01218
1.227E-4	0.01221
1.216E-4	0.01241
1.216E-4	0.01254
1.208E-4	0.01266
1.197E-4	0.0127
1.193E-4	0.01284
1.188E-4	0.01285
1.175E-4	0.01286
1.173E-4	0.01296
1.167E-4	0.01308
1.159E-4	0.01311
1.155E-4	0.01318
1.147E-4	0.01313
1.138E-4	0.01317
