A	B
1.822E-4	0.01212
1.82E-4	0.0121
1.808E-4	0.01208
1.804E-4	0.01206
1.792E-4	0.01198
1.78E-4	0.01202
1.786E-4	0.01203
1.775E-4	0.01206
1.773E-4	0.01209
1.76E-4	0.0121
1.752E-4	0.01207
1.746E-4	0.01209
1.741E-4	0.01213
1.734E-4	0.01208
1.72E-4	0.01201
1.722E-4	0.01201
1.707E-4	0.01203
1.705E-4	0.01202
1.706E-4	0.01204
1.69E-4	0.01203
1.684E-4	0.01204
1.677E-4	0.01198
1.668E-4	0.01201
1.662E-4	0.01197
1.656E-4	0.01194
1.646E-4	0.01194
1.639E-4	0.01194
1.637E-4	0.01192
1.624E-4	0.01196
1.622E-4	0.01195
1.612E-4	0.01194
1.606E-4	0.01186
1.598E-4	0.01189
1.591E-4	0.01188
1.586E-4	0.01184
1.578E-4	0.01183
1.571E-4	0.01184
1.565E-4	0.01188
1.558E-4	0.01185
1.546E-4	0.01188
1.544E-4	0.01184
1.536E-4	0.01187
1.524E-4	0.01179
1.522E-4	0.01177
1.513E-4	0.01173
1.51E-4	0.0117
1.498E-4	0.01168
1.491E-4	0.01165
1.479E-4	0.01167
1.48E-4	0.01158
1.467E-4	0.01162
1.463E-4	0.01169
1.459E-4	0.0116
1.443E-4	0.01157
1.44E-4	0.01156
1.432E-4	0.01154
1.423E-4	0.01145
1.421E-4	0.01141
1.412E-4	0.01138
1.402E-4	0.01141
1.396E-4	0.01135
1.384E-4	0.01134
1.378E-4	0.01133
1.372E-4	0.01122
1.364E-4	0.01124
1.357E-4	0.01126
1.35E-4	0.0112
1.338E-4	0.01118
1.34E-4	0.01115
1.321E-4	0.01112
1.316E-4	0.01109
1.312E-4	0.01109
1.304E-4	0.01116
1.296E-4	0.01125
1.29E-4	0.01134
1.281E-4	0.01143
1.27E-4	0.01153
1.27E-4	0.01163
1.262E-4	0.01166
1.252E-4	0.01177
1.248E-4	0.0119
1.236E-4	0.01203
1.234E-4	0.0121
1.223E-4	0.01216
1.218E-4	0.01233
1.215E-4	0.01244
1.205E-4	0.01254
1.198E-4	0.01263
1.195E-4	0.01273
1.187E-4	0.01283
1.177E-4	0.01297
1.174E-4	0.01303
1.165E-4	0.01306
1.162E-4	0.01309
1.155E-4	0.01317
1.141E-4	0.01326
1.143E-4	0.01333
1.133E-4	0.01332
1.132E-4	0.01338
1.122E-4	0.01335
1.113E-4	0.01333
1.109E-4	0.01342
1.102E-4	0.01336
1.094E-4	0.01332
1.093E-4	0.01337
1.085E-4	0.01345
1.072E-4	0.01343
1.071E-4	0.01332
1.065E-4	0.0134
1.054E-4	0.0134
1.054E-4	0.01328
1.044E-4	0.01342
1.038E-4	0.0134
1.028E-4	0.01338
1.029E-4	0.01329
1.015E-4	0.0132
1.012E-4	0.01322
1.007E-4	0.0132
9.95E-5	0.01321
9.87E-5	0.01325
9.78E-5	0.01317
9.76E-5	0.01309
9.77E-5	0.01304
9.63E-5	0.01296
9.57E-5	0.01291
9.52E-5	0.01283
9.49E-5	0.01281
9.39E-5	0.01285
9.35E-5	0.01271
9.31E-5	0.01264
9.22E-5	0.01261
9.14E-5	0.01253
9.05E-5	0.01247
9.02E-5	0.01239
8.91E-5	0.01225
8.83E-5	0.01215
8.83E-5	0.01206
8.69E-5	0.01198
8.63E-5	0.01188
8.55E-5	0.01172
8.49E-5	0.0116
8.39E-5	0.01152
8.36E-5	0.01138
8.31E-5	0.01132
8.18E-5	0.01131
8.15E-5	0.01119
8.02E-5	0.011
7.98E-5	0.01087
7.85E-5	0.01075
7.76E-5	0.01059
7.75E-5	0.01053
7.63E-5	0.01038
7.55E-5	0.01026
7.46E-5	0.01014
7.32E-5	0.00988
7.23E-5	0.0097
7.21E-5	0.00939
7.06E-5	0.00907
6.98E-5	0.00869
6.89E-5	0.00825
6.69E-5	0.00777
6.65E-5	0.00714
6.46E-5	0.0066
6.3E-5	0.00613
6.16E-5	0.00576
5.94E-5	0.00541
5.85E-5	0.00515
5.66E-5	0.00495
5.51E-5	0.00473
5.21E-5	0.00458
5.19E-5	0.00451
4.88E-5	0.00464
4.82E-5	0.005
4.76E-5	0.00553
4.57E-5	0.0061
4.51E-5	0.00677
4.37E-5	0.00752
4.31E-5	0.00853
4.21E-5	0.00959
4.18E-5	0.0115
4.13E-5	0.01345
4.05E-5	0.01511
4.02E-5	0.01757
3.94E-5	0.01934
3.95E-5	0.02099
3.87E-5	0.02227
3.86E-5	0.02263
3.87E-5	0.02303
3.79E-5	0.02364
3.79E-5	0.02334
3.69E-5	0.02391
3.68E-5	0.02416
3.64E-5	0.02416
3.63E-5	0.02444
3.62E-5	0.02476
3.51E-5	0.02454
3.51E-5	0.02478
3.46E-5	0.02521
3.45E-5	0.02501
3.36E-5	0.02495
3.34E-5	0.02518
3.32E-5	0.02505
3.25E-5	0.02522
3.26E-5	0.02538
3.2E-5	0.02523
3.17E-5	0.02538
3.15E-5	0.02558
3.11E-5	0.02554
3.08E-5	0.02559
3.01E-5	0.02593
3.02E-5	0.02606
2.96E-5	0.0262
2.95E-5	0.02625
2.93E-5	0.02592
2.87E-5	0.02583
2.82E-5	0.02612
2.84E-5	0.02612
2.79E-5	0.02614
2.73E-5	0.02607
2.7E-5	0.02615
2.67E-5	0.02641
2.67E-5	0.02638
2.62E-5	0.02629
2.64E-5	0.02596
2.58E-5	0.0258
2.48E-5	0.02597
2.51E-5	0.02622
2.44E-5	0.02612
2.47E-5	0.02611
2.39E-5	0.0262
2.35E-5	0.02647
2.31E-5	0.02665
2.28E-5	0.02659
2.34E-5	0.02656
2.24E-5	0.02692
2.21E-5	0.02674
2.19E-5	0.02665
2.09E-5	0.02649
2.11E-5	0.02654
2.09E-5	0.02621
2.01E-5	0.02625
1.97E-5	0.02628
1.97E-5	0.02633
